K Accuracy
1 100.00
3 100.00
5 100.00
7 100.00
9 100.00
11 100.00
13 100.00
15 100.00
17 100.00
19 100.00
21 100.00
23 100.00
25 100.00
27 100.00
29 100.00
31 100.00
33 100.00
35 100.00
37 100.00
39 100.00
41 100.00
43 94.44
45 94.44
47 94.44
49 88.89
51 88.89
53 88.89
55 88.89
57 88.89
59 88.89
61 88.89
63 83.33
65 83.33
67 83.33
69 83.33
71 83.33
73 83.33
75 83.33
77 83.33
79 83.33
81 83.33
83 83.33
85 55.56
87 55.56
89 55.56
91 55.56
93 55.56
95 55.56
97 55.56
99 55.56
101 55.56
103 55.56
105 55.56
107 55.56
109 55.56
111 55.56
113 55.56
115 55.56
117 55.56
119 55.56
121 55.56
123 50.00
125 50.00
127 44.44
129 38.89
131 22.22
